id,beneficiary-name,date,direction,amount,description,currency,mcc,kind
34,Wolt,1/9/2021,d,24.5,Food delivery,USD,5811,pmt
35,Emmezeta,1/9/2021,d,41.9,Appliances,USD,5712,pmt
36,Heating,1/10/2021,d,63,Utilities payment,USD,,pmt
37,Revolut,1/10/2021,d,3.3,Revolut Silver subscription,USD,,fee
38,Delhaize,1/10/2021,d,40.7,Supermaket shopping,USD,5499,pmt
39,Lidl,1/10/2021,d,31.7,Supermaket shopping,USD,5499,pmt
40,Glovo,1/10/2021,d,47.1,Food delivery,USD,5811,pmt
41,Wolt,1/10/2021,d,20.2,Food delivery,USD,5811,pmt
42,Wolt,1/10/2021,d,21.6,Food delivery,USD,5811,pmt
43,Generali,1/10/2021,d,45.8,Extended health insurance,USD,,pmt
44,Lending Club,1/10/2021,d,33.2,Loan Payment,USD,,pmt
45,Glovo,1/11/2021,d,40.6,Food delivery,USD,5811,pmt
46,Lidl,1/11/2021,d,90.7,Supermaket shopping,USD,5200,pmt
47,Revolut,1/12/2021,d,3.5,ATM withdrawal fee,USD,,fee
48,Glovo,1/12/2021,d,18.8,Food delivery,USD,5811,pmt
49,Karate club,1/12/2021,d,24.4,Club membership,USD,,pmt
50,Revolut,1/13/2021,d,5.5,ATM withdrawal fee,USD,,fee
51,Lidl,1/13/2021,d,37.1,Supermaket shopping,USD,5499,pmt
52,Chase,1/13/2021,d,400.9,Rent pay,USD,,pmt
53,Office365,1/13/2021,d,18.2,TV,USD,5045,pmt
54,Fit and Fun,1/14/2021,d,24.4,Personal trainer,USD,,pmt
55,T-Mobile,1/15/2021,d,13.2,Mobile phone bill,USD,,pmt
56,New York Times,1/15/2021,d,3.1,National Geographic,USD,5192,pmt
57,Glovo,1/15/2021,d,48.9,Food delivery,USD,5811,pmt
58,Glovo,1/15/2021,d,26.8,Food delivery,USD,5811,pmt
59,Karate club,1/15/2021,d,22.2,Club membership,USD,,pmt
60,Shell,1/16/2021,d,45.4,Gasoline purchases,USD,5983,pmt
61,Bank of America,1/16/2021,d,4.4,ATM withdrawal fee,USD,,fee
62,Fit and Fun,1/16/2021,d,24.4,Gym membership,USD,,pmt
63,Best Western,1/16/2021,d,"1,542.10",Hotel,USD,7011,pmt
64,New York Times,1/17/2021,d,5.4,New York Times,USD,5192,pmt
65,Lidl,1/17/2021,d,32.9,Supermaket shopping,USD,5499,pmt
66,Wolt,1/17/2021,d,23.6,Food delivery,USD,5811,pmt
67,Glovo,1/17/2021,d,32,Food delivery,USD,5811,pmt
68,Asseco,1/17/2021,c,"2,382.40",Salary,USD,,sal
69,Travel house,1/17/2021,d,532.4,Vacation,USD,5962,pmt
70,,1/18/2021,d,204.1,ATM withdrawal,USD,,wdw
71,City parkings,1/18/2021,d,2,Parking fee,USD,7523,pmt
72,A1 Telecom,1/18/2021,d,6.1,Phone bill,USD,,pmt
73,Comcast,1/18/2021,d,18.6,Television bill,USD,,pmt
74,Wolt,1/18/2021,d,39,Food delivery,USD,5811,pmt
75,Wolt,1/18/2021,d,38.3,Food delivery,USD,5811,pmt
76,Glovo,1/18/2021,d,38,Food delivery,USD,5811,pmt
77,Glovo,1/18/2021,d,50,Food delivery,USD,5811,pmt
78,Fit and Fun,1/18/2021,d,27.3,Gym membership,USD,,pmt
79,Apple,1/19/2021,d,15.2,Spotify premium subscription,USD,5733,pmt
80,Bank of America,1/19/2021,d,7.9,Online banking fee,USD,,fee
81,Lidl,1/19/2021,d,34.4,Supermaket shopping,USD,5499,pmt
82,Delhaize,1/19/2021,d,30.3,Supermaket shopping,USD,5499,pmt
83,Red Cross,1/19/2021,d,98.8,Charity,USD,,pmt
84,Coinbase,1/19/2021,c,939.7,Project based fee,USD,,dep
85,Wolt,1/20/2021,d,43.7,Food delivery,USD,5811,pmt
86,Wolt,1/21/2021,d,19.3,Food delivery,USD,5811,pmt
87,Wolt,1/21/2021,d,27.4,Food delivery,USD,5811,pmt
88,Music school,1/22/2021,d,199.1,Tuition,USD,8299,pmt
89,Glovo,1/22/2021,d,36.3,Food delivery,USD,5811,pmt
90,Generali,1/22/2021,d,45.5,Extended health insurance,USD,,pmt
91,Wells Fargo,1/22/2021,d,64.1,Loan Payment,USD,,pmt
92,T-Mobile,1/23/2021,d,20.4,Mobile phone bill,USD,,pmt
93,Glovo,1/23/2021,d,47,Food delivery,USD,5811,pmt
94,Karate club,1/23/2021,d,29.9,Club membership,USD,,pmt
95,The barbers,1/23/2021,d,38.2,Haircut,USD,7230,pmt
96,Glovo,1/24/2021,d,35.9,Food delivery,USD,5811,pmt
97,Table tenis club PingPong,1/24/2021,d,13.4,Table tennis 2 hrs,USD,5655,pmt
98,Chase,1/24/2021,d,400.7,Rent pay,USD,,pmt
99,Chase,1/24/2021,d,400.4,Rent pay,USD,,pmt
100,Jill,1/24/2021,d,45.7,Allowance,USD,,pmt
101,Adobe,1/24/2021,d,16.6,Games,USD,5045,pmt
102,Shell,1/25/2021,d,41.9,Gasoline purchases,USD,5983,pmt
103,A1 Telecom,1/25/2021,d,12.4,Mobile phone bill,USD,,pmt
104,Revolut,1/25/2021,d,4.4,ATM withdrawal fee,USD,,fee
105,Glovo,1/25/2021,d,41.6,Food delivery,USD,5811,pmt
106,Karate club,1/25/2021,d,29.5,Membership,USD,,pmt
107,Residential Property,1/25/2021,d,170.3,Tax pay,USD,9311,pmt
108,Music school,1/26/2021,d,169.9,Tuition,USD,8299,pmt
109,Wolt,1/26/2021,d,38.8,Food delivery,USD,5811,pmt
110,Legend,1/26/2021,d,273.4,Fotwear,USD,,pmt
111,Faculty of contemporary arts,1/27/2021,d,163.4,Tuition,USD,8299,pmt
112,Glovo,1/27/2021,d,36.1,Food delivery,USD,5811,pmt
113,Wolt,1/27/2021,d,25.6,Food delivery,USD,5811,pmt
114,Pet store,1/27/2021,d,22.3,Shopping,USD,5995,pmt
115,Pet salon Rex,1/27/2021,d,10.7,Grooming,USD,,pmt
116,T-Mobile,1/28/2021,d,16.8,Mobile phone bill,USD,,pmt
117,Pet hotel Happy Dog,1/28/2021,d,100.8,Monthly stay,USD,5995,pmt
118,Tele9,2/2/2021,d,11.6,Television bill,USD,,pmt
119,Hulu,2/2/2021,d,10,Netflix subscription,USD,,pmt
120,Bank of America,2/2/2021,d,7.6,Online banking fee,USD,,fee
121,Delhaize,2/2/2021,d,34.8,Supermaket shopping,USD,5499,pmt
122,Wolt,2/2/2021,d,15.5,Food delivery,USD,5811,pmt
123,Fit and Fun,2/2/2021,d,29.5,Personal trainer,USD,,pmt
124,Coinbase,2/2/2021,c,928.6,Project based fee,USD,,dep
125,Hertz,2/2/2021,d,14.7,Car rent,USD,7519,pmt
126,Comcast,2/3/2021,d,11.3,Television bill,USD,,pmt
127,Glovo,2/3/2021,d,26.4,Food delivery,USD,5811,pmt
128,Glovo,2/3/2021,d,23.7,Food delivery,USD,5811,pmt
129,Wolt,2/3/2021,d,27.4,Food delivery,USD,5811,pmt
130,Wolt,2/4/2021,d,49.8,Food delivery,USD,5811,pmt
131,Glovo,2/4/2021,d,48.8,Food delivery,USD,5811,pmt
132,Wolt,2/4/2021,d,20.7,Food delivery,USD,5811,pmt
133,Tax company,2/4/2021,d,"2,315.00",Tax pay,USD,9311,pmt
134,Home cleaning service,2/5/2021,d,50.6,Cleaning,USD,,pmt
135,Claire Stevens,2/5/2021,c,300.8,Monthly rent,USD,,dep
136,Chevron,2/6/2021,d,71.3,Gasoline purchases,USD,5983,pmt
137,Orange,2/7/2021,d,26.1,Internet bill,USD,,pmt
138,Delhaize,2/7/2021,d,36.9,Supermaket shopping,USD,5499,pmt
139,Wolt,2/7/2021,d,30.3,Food delivery,USD,5811,pmt
140,Glovo,2/7/2021,d,33.3,Food delivery,USD,5811,pmt
141,Wolt,2/7/2021,d,32.9,Food delivery,USD,5811,pmt
142,Generali,2/7/2021,d,45.1,Extended health insurance,USD,,pmt
143,The barbers,2/7/2021,d,35.7,Haircut,USD,7230,pmt
144,Glovo,2/8/2021,d,41.5,Food delivery,USD,5811,pmt
145,Glovo,2/8/2021,d,41.7,Food delivery,USD,5811,pmt
146,Generali,2/8/2021,d,45.5,Extended health insurance,USD,,pmt
147,Spotify,2/9/2021,d,16,Apple music subscription,USD,5733,pmt
148,Wolt,2/9/2021,d,26.7,Food delivery,USD,5811,pmt
149,Wolt,2/10/2021,d,50,Food delivery,USD,5811,pmt
150,Glovo,2/10/2021,d,30.6,Food delivery,USD,5811,pmt
151,Chase,2/10/2021,d,400.6,Rent pay,USD,,pmt
152,Lidl,2/11/2021,d,40.7,Supermaket shopping,USD,5499,pmt
153,Lidl,2/11/2021,d,35.6,Supermaket shopping,USD,5499,pmt
154,Lidl,2/11/2021,d,37.3,Supermaket shopping,USD,5499,pmt
155,Wolt,2/11/2021,d,24.3,Food delivery,USD,5811,pmt
156,PersonalLoans,2/11/2021,d,9.9,Charge pay,USD,,fee
157,Hulu,2/12/2021,d,10.5,Netflix subscription,USD,,pmt
158,Glovo,2/12/2021,d,19.2,Food delivery,USD,5811,pmt
159,Swimming pool Activa,2/12/2021,d,15.2,Table tennis 2 hrs,USD,5655,pmt
160,Book depository,2/13/2021,d,15.8,Book,USD,,pmt
161,Swimming school,2/13/2021,d,20.4,Membership,USD,,pmt
162,Generali ado,2/14/2021,d,789.4,Kasko insurance,USD,6381,pmt
163,National Geographic,2/14/2021,d,4.5,National Geographic,USD,5192,pmt
164,Generali,2/14/2021,d,45.5,Extended health insurance,USD,,pmt
165,Pet hotel Happy Dog,2/14/2021,d,100.5,Monthly stay,USD,5995,pmt
166,Glovo,2/16/2021,d,23,Food delivery,USD,5811,pmt
167,Glovo,2/16/2021,d,26.2,Food delivery,USD,5811,pmt
168,Red Cross,2/16/2021,d,52.1,Charity,USD,,pmt
169,Book depository,2/17/2021,d,14.7,Amazon Kindle subscription,USD,,pmt
170,Glovo,2/17/2021,d,17.1,Food delivery,USD,5811,pmt
171,Wolt,2/18/2021,d,28.5,Food delivery,USD,5811,pmt
172,Wolt,2/18/2021,d,43.6,Food delivery,USD,5811,pmt
173,Amazon,2/18/2021,d,20.6,Science fiction,USD,5192,pmt
174,A1 Telecom,2/20/2021,d,29.3,Internet bill,USD,,pmt
175,Lidl,2/20/2021,d,37.3,Supermaket shopping,USD,5499,pmt
176,Delhaize,2/20/2021,d,31.6,Supermaket shopping,USD,5499,pmt
177,Glovo,2/20/2021,d,46.7,Food delivery,USD,5811,pmt
178,Medilife,2/20/2021,d,42.8,General Practitioner,USD,8011,pmt
179,R-Pharm,2/20/2021,d,37.3,Medicine,USD,5912,pmt
180,Claire Stevens,2/20/2021,c,300.8,Monthly rent,USD,,dep
181,Orange,2/21/2021,d,5,Phone bill,USD,,pmt
182,Wolt,2/21/2021,d,49.9,Food delivery,USD,5811,pmt
183,Generali,2/21/2021,d,45.9,Extended health insurance,USD,,pmt
184,Claire Stevens,2/21/2021,c,301,Monthly rent,USD,,dep
185,,2/22/2021,d,261.3,ATM withdrawal,USD,,wdw
186,Electro distribution,2/22/2021,d,77.9,Utilities payment,USD,,pmt
187,Bank of America,2/22/2021,d,4.7,Revolut Silver subscription,USD,,fee
188,Office365,2/22/2021,d,10.6,Games,USD,5045,pmt
189,City parkings,2/23/2021,d,2,Parking fee,USD,7523,pmt
190,Bank of America,2/23/2021,d,3.2,Online banking fee,USD,,fee
191,Delhaize,2/23/2021,d,30.4,Supermaket shopping,USD,5499,pmt
192,Wolt,2/23/2021,d,24.5,Food delivery,USD,5811,pmt
193,Wolt,2/23/2021,d,34.7,Food delivery,USD,5811,pmt
194,Gerber Products Company,2/23/2021,d,78,Baby wardrobe,USD,,pmt
195,UniCredit Leasing,2/24/2021,d,450,Financial leasing,USD,7394,pmt
196,Raiffeisen Leasing,2/24/2021,d,450,Financial leasing,USD,7394,pmt
197,Revolut,2/24/2021,d,4.3,ATM withdrawal fee,USD,,fee
198,Wolt,2/24/2021,d,24.8,Food delivery,USD,5811,pmt
199,Glovo,2/24/2021,d,27.6,Food delivery,USD,5811,pmt
200,Glovo,2/24/2021,d,19.4,Food delivery,USD,5811,pmt
201,Lidl,2/24/2021,d,89.5,Supermaket shopping,USD,5200,pmt
202,Karate club,2/24/2021,d,24.9,Club membership,USD,,pmt
203,Revolut,2/25/2021,d,5.5,ATM withdrawal fee,USD,,fee
204,Glovo,2/25/2021,d,26.7,Food delivery,USD,5811,pmt
205,Save our kids,2/25/2021,d,43,Charity,USD,,pmt
206,Fit and Fun,2/25/2021,d,21.4,Gym membership,USD,,pmt
207,Comcast,2/26/2021,d,20,Television bill,USD,,pmt
208,Hulu,2/26/2021,d,10.7,Hulu subscription,USD,,pmt
209,Swimming pool Activa,2/26/2021,d,10.4,Daily pool ticket,USD,5655,pmt
210,Jill,2/26/2021,d,39.9,Allowance,USD,,pmt
211,Swimming school,2/26/2021,d,24,Club membership,USD,,pmt
212,Glovo,2/27/2021,d,44.4,Food delivery,USD,5811,pmt
213,Glovo,2/27/2021,d,32.4,Food delivery,USD,5811,pmt
214,Glovo,2/27/2021,d,43.9,Food delivery,USD,5811,pmt
215,Serenity Wellnes,2/27/2021,d,25.4,Spa treatment,USD,8050,pmt
216,Adobe,2/27/2021,d,16.7,Games,USD,5045,pmt
217,City parkings,2/28/2021,d,1.4,Parking fee,USD,7523,pmt
218,Bank of America,2/28/2021,d,6.6,Online banking fee,USD,,fee
219,Lidl,2/28/2021,d,32.6,Supermaket shopping,USD,5499,pmt
220,Glovo,2/28/2021,d,29,Food delivery,USD,5811,pmt
221,Home cleaning service,2/28/2021,d,47.8,Cleaning,USD,,pmt
222,Faculty of contemporary arts,3/1/2021,d,196.7,Tuition,USD,8299,pmt
223,Amazon,3/1/2021,d,8,Amazon Kindle subscription,USD,,pmt
224,National Geographic,3/1/2021,d,4.2,New York Times,USD,5192,pmt
225,Glovo,3/1/2021,d,34.8,Food delivery,USD,5811,pmt
226,Glovo,3/1/2021,d,30.1,Food delivery,USD,5811,pmt
227,Wolt,3/1/2021,d,36.6,Food delivery,USD,5811,pmt
228,Pet salon Rex,3/1/2021,d,10,Grooming,USD,,pmt
229,MetLife,3/2/2021,d,200.5,Life insurance premium,USD,6300,pmt
230,Josh,3/2/2021,d,42.2,Allowance,USD,,pmt
231,Sixt GmbH,3/2/2021,d,11.4,Car rent,USD,7519,pmt
232,Heating,3/3/2021,d,95.9,Utilities payment,USD,,pmt
233,Bank of America,3/3/2021,d,5.4,Revolut Silver subscription,USD,,fee
234,Lily,3/3/2021,d,38.9,Medicine,USD,5912,pmt
235,Swimming pool Activa,3/3/2021,d,15.6,Table tennis 2 hrs,USD,5655,pmt
236,Home cleaning service,3/3/2021,d,50.4,Cleaning,USD,,pmt
237,MasterCard,3/3/2021,d,57.4,Pay with Visa,USD,,pmt
238,Glovo,3/4/2021,d,45.5,Food delivery,USD,5811,pmt
239,Fit and Fun,3/4/2021,d,27.1,Personal trainer,USD,,pmt
240,Asseco,3/4/2021,c,"2,376.50",Salary,USD,,sal
241,Earnest,3/4/2021,d,11.5,Charge pay,USD,,fee
242,Adobe,3/4/2021,d,11,TV,USD,5045,pmt
243,Glovo,3/5/2021,d,42.9,Food delivery,USD,5811,pmt
244,Glovo,3/5/2021,d,22,Food delivery,USD,5811,pmt
245,Lidl,3/5/2021,d,93.7,Supermaket shopping,USD,5200,pmt
246,Electro distribution,3/6/2021,d,45.8,Utilities payment,USD,,pmt
247,Apple,3/6/2021,d,15.9,Spotify premium subscription,USD,5733,pmt
248,Wolt,3/6/2021,d,40.6,Food delivery,USD,5811,pmt
249,Glovo,3/6/2021,d,36.8,Food delivery,USD,5811,pmt
250,Hertz,3/6/2021,d,14.5,Taxi,USD,7519,pmt
251,A1 Telecom,3/7/2021,d,5.5,Phone bill,USD,,pmt
252,A1 Telecom,3/7/2021,d,34,Internet bill,USD,,pmt
253,Delhaize,3/7/2021,d,37.7,Supermaket shopping,USD,5499,pmt
254,Glovo,3/7/2021,d,39.3,Food delivery,USD,5811,pmt
255,Pet shop,3/7/2021,d,23.8,Shopping,USD,5995,pmt
256,Spotify,3/8/2021,d,15.6,Apple music subscription,USD,5733,pmt
257,Wolt,3/8/2021,d,37.5,Food delivery,USD,5811,pmt
258,Earnest,3/8/2021,d,6.7,Charge pay,USD,,fee
259,A1 Telecom,3/9/2021,d,20.5,Mobile phone bill,USD,,pmt
260,Electro distribution,3/9/2021,d,66.1,Utilities payment,USD,,pmt
261,Delhaize,3/9/2021,d,37.9,Supermaket shopping,USD,5499,pmt
262,Pet salon Rex,3/9/2021,d,10.5,Grooming,USD,,pmt
263,Bank of America,3/10/2021,d,5.7,ATM withdrawal fee,USD,,fee
264,Wolt,3/10/2021,d,22.5,Food delivery,USD,5811,pmt
265,PersonalLoans,3/10/2021,d,12.5,Charge pay,USD,,fee
266,Protetcta,3/11/2021,d,29.4,Doctor's appointment,USD,8011,pmt
267,Glovo,3/12/2021,d,22.8,Food delivery,USD,5811,pmt
268,Lidl,3/13/2021,d,30.2,Supermaket shopping,USD,5499,pmt
269,Lidl,3/13/2021,d,34.9,Supermaket shopping,USD,5499,pmt
270,A1 Telecom,3/14/2021,d,18.6,Mobile phone bill,USD,,pmt
271,Delhaize,3/14/2021,d,30.3,Supermaket shopping,USD,5499,pmt
272,Glovo,3/14/2021,d,31.2,Food delivery,USD,5811,pmt
273,Lending Club,3/14/2021,d,70.4,Loan Payment,USD,,pmt
274,Wolt,3/15/2021,d,18.4,Food delivery,USD,5811,pmt
275,Wolt,3/15/2021,d,19.9,Food delivery,USD,5811,pmt
276,Asseco,3/15/2021,c,"2,457.20",Salary,USD,,sal
277,City parkings,3/16/2021,d,2.7,Parking fee,USD,7523,pmt
278,Heating,3/16/2021,d,34,Utilities payment,USD,,pmt
279,Hulu,3/16/2021,d,9.5,Netflix subscription,USD,,pmt
280,Lidl,3/16/2021,d,40,Supermaket shopping,USD,5499,pmt
281,Glovo,3/16/2021,d,44,Food delivery,USD,5811,pmt
282,Faculty of contemporary arts,3/17/2021,d,155.1,Tuition,USD,8299,pmt
283,Adobe,3/17/2021,d,19.5,Games,USD,5045,pmt
284,,3/18/2021,d,127.8,ATM withdrawal,USD,,wdw
285,T-Mobile,3/18/2021,d,13.2,Mobile phone bill,USD,,pmt
286,National Geographic,3/18/2021,d,5.5,New York Times,USD,5192,pmt
287,Delhaize,3/18/2021,d,39.8,Supermaket shopping,USD,5499,pmt
288,Raiffeisen Leasing,3/19/2021,d,451,Financial leasing,USD,7394,pmt
289,MetLife,3/19/2021,d,200.8,Life insurance premium,USD,6300,pmt
290,Lidl,3/19/2021,d,33.5,Supermaket shopping,USD,5499,pmt
291,Glovo,3/19/2021,d,39.1,Food delivery,USD,5811,pmt
292,Fit and Fun,3/19/2021,d,25.6,Gym membership,USD,,pmt
293,R-Pharm,3/19/2021,d,39.8,Medicine,USD,5912,pmt
294,Visa,3/19/2021,d,83.2,Pay with Mastercard,USD,,pmt
295,Hertz,3/19/2021,d,15.6,Taxi,USD,7519,pmt
296,Glovo,3/20/2021,d,29.3,Food delivery,USD,5811,pmt
297,UniCredit Leasing,3/21/2021,d,450,Financial leasing,USD,7394,pmt
298,A1 Telecom,3/21/2021,d,14.2,Mobile phone bill,USD,,pmt
299,Bank of America,3/21/2021,d,4.8,Online banking fee,USD,,fee
300,Glovo,3/21/2021,d,36.9,Food delivery,USD,5811,pmt
301,Wolt,3/21/2021,d,47.2,Food delivery,USD,5811,pmt
302,Serenity Wellnes,3/21/2021,d,20.6,Spa treatment,USD,8050,pmt
303,New York Times,3/22/2021,d,3.7,National Geographic,USD,5192,pmt
304,Delhaize,3/22/2021,d,34,Supermaket shopping,USD,5499,pmt
305,Lidl,3/22/2021,d,31.6,Supermaket shopping,USD,5499,pmt
306,Glovo,3/22/2021,d,21.8,Food delivery,USD,5811,pmt
307,Pet store,3/22/2021,d,24.4,Shopping,USD,5995,pmt
308,R-Pharm,3/23/2021,d,30.7,Medicine,USD,5912,pmt
309,Serenity Wellnes,3/23/2021,d,20.9,Massage,USD,8050,pmt
310,Orange,3/24/2021,d,21.9,Internet bill,USD,,pmt
311,Glovo,3/24/2021,d,48.1,Food delivery,USD,5811,pmt
312,Wolt,3/24/2021,d,38.8,Food delivery,USD,5811,pmt
313,Generali,3/24/2021,d,45.6,Extended health insurance,USD,,pmt
314,Hooters Air,3/24/2021,d,487.3,Ticket pay,USD,,pmt
315,Revolut,3/25/2021,d,3.4,ATM withdrawal fee,USD,,fee
316,Glovo,3/25/2021,d,40.1,Food delivery,USD,5811,pmt
317,Amazon,3/26/2021,d,7.6,Book,USD,,pmt
318,Wolt,3/26/2021,d,41.5,Food delivery,USD,5811,pmt
319,Glovo,3/26/2021,d,17.3,Food delivery,USD,5811,pmt
320,Ikea,3/26/2021,d,45.7,Appliances,USD,5712,pmt
321,Jill,3/26/2021,d,36.2,Allowance,USD,,pmt
322,A1 Telecom,3/27/2021,d,34.1,Internet bill,USD,,pmt
323,Delhaize,3/27/2021,d,37.7,Supermaket shopping,USD,5499,pmt
324,Wolt,3/27/2021,d,15.2,Food delivery,USD,5811,pmt
325,Wolt,3/27/2021,d,39.4,Food delivery,USD,5811,pmt
326,Jill,3/27/2021,d,50.1,Allowance,USD,,pmt
327,Wolt,3/28/2021,d,36.3,Food delivery,USD,5811,pmt
328,Glovo,3/28/2021,d,15.2,Food delivery,USD,5811,pmt
329,Comcast,4/1/2021,d,11,Television bill,USD,,pmt
330,Delhaize,4/1/2021,d,30.9,Supermaket shopping,USD,5499,pmt
331,Lidl,4/1/2021,d,34.3,Supermaket shopping,USD,5499,pmt
332,Glovo,4/1/2021,d,45.3,Food delivery,USD,5811,pmt
333,Fit and Fun,4/1/2021,d,23.2,Personal trainer,USD,,pmt
334,Home cleaning service,4/1/2021,d,50.4,Cleaning,USD,,pmt
335,Home cleaning service,4/1/2021,d,45.8,Cleaning,USD,,pmt
336,Lending Club,4/1/2021,d,42.4,Loan Payment,USD,,pmt
337,Electro distribution,4/2/2021,d,90.7,Utilities payment,USD,,pmt
338,Wolt,4/2/2021,d,26.6,Food delivery,USD,5811,pmt
339,R-Pharm,4/2/2021,d,38.7,Medicine,USD,5912,pmt
340,Home cleaning service,4/2/2021,d,47.4,Cleaning,USD,,pmt
341,Blue moon spa,4/2/2021,d,22.3,Massage,USD,8050,pmt
342,Travel house,4/2/2021,d,888.7,Vacation,USD,5962,pmt
343,City parkings,4/3/2021,d,2.9,Parking fee,USD,7523,pmt
344,Home cleaning service,4/3/2021,d,49.5,Cleaning,USD,,pmt
345,Asseco,4/3/2021,c,"2,313.30",Salary,USD,,sal
346,Serenity Wellnes,4/3/2021,d,23.5,Massage,USD,8050,pmt
347,Wolt,4/4/2021,d,29,Food delivery,USD,5811,pmt
348,Home cleaning service,4/4/2021,d,50.3,Cleaning,USD,,pmt
349,Wells Fargo,4/4/2021,d,38.2,Loan Payment,USD,,pmt
350,Office365,4/4/2021,d,16.7,TV,USD,5045,pmt
351,Hulu,4/5/2021,d,9.5,Netflix subscription,USD,,pmt
352,Glovo,4/5/2021,d,17.2,Food delivery,USD,5811,pmt
353,Save our kids,4/5/2021,d,52,Charity,USD,,pmt
354,Connexus,4/6/2021,d,400.6,Mortgage pay,USD,,pmt
355,Barber shop,4/6/2021,d,24.6,Hair dye,USD,7230,pmt
356,Apple,4/7/2021,d,15.7,Apple music subscription,USD,5733,pmt
357,New York Times,4/7/2021,d,5.7,National Geographic,USD,5192,pmt
358,Lidl,4/7/2021,d,30.4,Supermaket shopping,USD,5499,pmt
359,Barber shop,4/7/2021,d,28.8,Hair dye,USD,7230,pmt
360,Pet shop,4/7/2021,d,23.8,Shopping,USD,5995,pmt
361,Faculty of contemporary arts,4/8/2021,d,181.6,Tuition,USD,8299,pmt
362,New York Times,4/8/2021,d,6,National Geographic,USD,5192,pmt
363,Delhaize,4/8/2021,d,30.7,Supermaket shopping,USD,5499,pmt
364,Glovo,4/8/2021,d,15.9,Food delivery,USD,5811,pmt
365,Lidl,4/8/2021,d,93.3,Supermaket shopping,USD,5200,pmt
366,Hertz,4/8/2021,d,11.8,Taxi,USD,7519,pmt
367,MetLife,4/10/2021,d,200.1,Life insurance premium,USD,6300,pmt
368,Swimming pool Activa,4/10/2021,d,13.9,Daily pool ticket,USD,5655,pmt
369,Residential Property,4/10/2021,d,172.4,Tax pay,USD,9311,pmt
370,Amazon,4/11/2021,d,13.7,Book,USD,,pmt
371,MetLife,4/11/2021,d,200.8,Life insurance premium,USD,6300,pmt
372,Glovo,4/11/2021,d,24.2,Food delivery,USD,5811,pmt
373,Home cleaning service,4/11/2021,d,48.3,Cleaning,USD,,pmt
374,Delhaize,4/11/2021,d,82,Supermaket shopping,USD,5200,pmt
375,,4/12/2021,d,155.3,ATM withdrawal,USD,,wdw
376,Comcast,4/12/2021,d,16.6,Television bill,USD,,pmt
377,Tele9,4/12/2021,d,10.6,Television bill,USD,,pmt
378,Delhaize,4/12/2021,d,34.5,Supermaket shopping,USD,5499,pmt
379,Delhaize,4/12/2021,d,37.5,Supermaket shopping,USD,5499,pmt
380,Wolt,4/12/2021,d,43.6,Food delivery,USD,5811,pmt
381,Generali,4/12/2021,d,45.7,Extended health insurance,USD,,pmt
